Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Pareja
Champions League ,Group Stage,11/2/10,Away,FC Barcelona,FC Copenhagen,1:1,RW,31',0:1,Right-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,10,11/7/10,Away,FC Barcelona,Getafe CF,1:3,CF,23',0:1,Left-footed shot,David Villa,Antonela Rocuzzo
Copa del Rey ,4th round,11/10/10,Home,FC Barcelona,Club Atlético de Ceuta,5:1,RW,67',5:1,Left-footed shot,Thiago,Antonela Rocuzzo
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,58',2:1,Right-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,83',3:1,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,16',0:1,Left-footed shot,David Villa,Antonela Rocuzzo
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,36',0:5,Tap-in,Not Applicable,Antonela Rocuzzo
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,67',0:7,Tap-in,David Villa,Antonela Rocuzzo
Champions League ,Group Stage,11/24/10,Away,FC Barcelona,Panathinaikos Athens,0:3,CF,63',0:2,Left-footed shot,Adriano,Antonela Rocuzzo
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,64',0:2,Left-footed shot,David Villa,Antonela Rocuzzo
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,82',0:3,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,46',3:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,86',4:0,Left-footed shot,Bojan Krkic,Antonela Rocuzzo
LaLiga ,18,1/8/11,Away,FC Barcelona,Deportivo de La Coruña,0:4,CF,51',0:2,Direct free kick,Not Applicable,Antonela Rocuzzo
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,44',1:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,63',2:0,Left-footed shot,Not Applicable,Antonela Rocuzzo
Copa del Rey ,Quarter-Finals,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,73',3:0,Left-footed shot,Xavi,Antonela Rocuzzo
Copa del Rey ,Quarter-Finals,1/19/11,Away,FC Barcelona,Real Betis Balompié,3:1,RW,37',2:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,20,1/22/11,Home,FC Barcelona,Racing Santander,3:0,CF,33',2:0,Penalty,Not Applicable,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,1/26/11,Home,FC Barcelona,UD Almería,5:0,CF,9',1:0,Left-footed shot,Pedro,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,1/26/11,Home,FC Barcelona,UD Almería,5:0,CF,15',3:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,21,1/29/11,Away,FC Barcelona,Hércules CF,0:3,CF,87',0:2,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,21,1/29/11,Away,FC Barcelona,Hércules CF,0:3,CF,89',0:3,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,16',1:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,28',2:0,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,22,2/5/11,Home,FC Barcelona,Atlético de Madrid,3:0,CF,78',3:0,Left-footed shot,David Villa,Antonela Rocuzzo
LaLiga ,24,2/20/11,Home,FC Barcelona,Athletic Bilbao,2:1,CF,78',2:1,Right-footed shot,Dani Alves,Antonela Rocuzzo
