,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
1712,434793,MinimalUsage,10.90824,9.125,27,Medio,Medio,3.Potenciales,COMIDA
1714,435765,HighUsage,1.4558,4.6,9,Medio,Medio,4.Activos,COMIDA
1718,438423,HighUsage,8.149519999999999,8.6,32,Alto,Medio,4.Activos,BEBIDA
1721,439108,PowerUsage,8.04242,5.8333,40,Medio,Medio,4.Activos,Tradicional
1725,441046,HighUsage,10.0119,10.25,37,Alto,Medio,5.Select,Tradicional
1729,444418,HighUsage,15.11882,2.9583,36,Alto,Medio,4.Activos,COMIDA
1736,446672,HighUsage,5.02356,7.5455,33,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
1737,447027,MinimalUsage,2.23986,4.8,18,Alto,Medio,2.Masivos,Kioscos/Maxikioscos
1739,447558,HighUsage,10.27964,3.9722,22,Alto,Medio,2.Masivos,Tradicional
1741,448308,HighUsage,1.57794,3.4286,11,Medio,Alto,4.Activos,Tradicional
1743,448763,HighUsage,0.61286,6.3333,13,Alto,Medio,4.Activos,Kioscos/Maxikioscos
1744,449674,PowerUsage,13.74698,6.3667,64,Alto,Medio,4.Activos,Tradicional
1764,457140,HighUsage,20.70388,8.125,36,Alto,Alto,4.Activos,Bar/Restaurant
1786,110412,PowerUsage,3.3719600000000005,2.9545,15,Medio,Medio,4.Activos,Tradicional
1798,312817,PowerUsage,4.1082,2.5,10,Bajo,Medio,4.Activos,Tradicional
1799,325127,HighUsage,36.43635999999999,5.44,28,Alto,Medio,3.Potenciales,COMIDA
1800,331997,HighUsage,4.134860000000001,8.2143,38,Medio,Medio,4.Activos,Tradicional
1806,342566,HighUsage,9.3768,9.625,19,Alto,Medio,4.Activos,Tradicional
1815,368088,MediumUsage,3.9219399999999993,8.7143,32,Alto,Bajo,4.Activos,Kioscos/Maxikioscos
1819,373559,HighUsage,2.49895,5.25,31,Alto,Medio,5.Select,Tradicional
1832,391399,MinimalUsage,287.17928000000006,5.1627,64,Alto,Medio,4.Activos,Tradicional
1835,396626,PowerUsage,35.06586,9.3864,88,Medio,Bajo,5.Select,Kioscos/Maxikioscos
1839,398515,HighUsage,43.49061999999999,4.5588,45,Medio,Medio,5.Select,Tradicional
1845,406091,MediumUsage,4.64334,2.5,11,Alto,Medio,1.Inactivos,Tradicional
1854,409805,PowerUsage,2.30926,4.6667,20,Alto,Bajo,2.Masivos,Kioscos/Maxikioscos
1881,434888,MediumUsage,0.13476,1.1667,3,Alto,Medio,1.Inactivos,Kioscos/Maxikioscos
1885,438027,HighUsage,32.04804,11.6944,66,Alto,Medio,2.Masivos,Tradicional
1897,444945,MinimalUsage,10.91856,7.3,28,Alto,Medio,4.Activos,Tradicional
1901,445910,HighUsage,6.010959999999999,8.3636,45,Alto,S/D,5.Select,COMIDA
1903,446636,HighUsage,8.19552,6.3333,18,Medio,Bajo,4.Activos,Kioscos/Maxikioscos
1922,456836,MediumUsage,19.34238,12.2727,65,S/D,S/D,4.Activos,Tradicional
1925,457476,MinimalUsage,33.3708,2.2857,6,Bajo,Medio,4.Activos,BEBIDA
1934,459116,MinimalUsage,1.6441399999999995,14.0,25,S/D,S/D,3.Potenciales,Kioscos/Maxikioscos
1947,120029,MediumUsage,10.1688,5.6154,22,Alto,Medio,4.Activos,COMIDA
1950,138374,HighUsage,8.72444,13.1,42,Alto,Medio,2.Masivos,Tradicional
1951,145428,MinimalUsage,109.7386,5.0606,27,Alto,Medio,4.Activos,COMIDA
1956,179747,PowerUsage,6.1566,4.2778,17,Medio,Bajo,4.Activos,Tradicional
1960,321285,HighUsage,1.3035200000000002,7.0,7,Medio,Medio,4.Activos,Tradicional
1966,338266,PowerUsage,7.620949999999999,4.4118,37,Alto,S/D,4.Activos,Kioscos/Maxikioscos
1978,367342,HighUsage,3.02698,5.75,27,Medio,Medio,4.Activos,Kioscos/Maxikioscos
2021,412375,HighUsage,15.4035,6.25,38,Alto,Medio,4.Activos,Tradicional
2024,415222,MinimalUsage,2.4619,2.8,11,Alto,Medio,1.Inactivos,Tradicional
2027,416991,HighUsage,6.071859999999999,8.1429,28,Alto,Medio,4.Activos,COMIDA
2037,426422,MediumUsage,0.6973799999999999,4.6667,10,Alto,Medio,2.Masivos,COMIDA
2046,431680,MediumUsage,1.94987,4.6667,30,Alto,S/D,2.Masivos,Tradicional
2054,433299,HighUsage,2.0302800000000003,4.25,13,Medio,Medio,1.Inactivos,Tradicional
2055,433683,MinimalUsage,4.262359999999999,9.1667,20,Alto,Medio,4.Activos,COMIDA
2058,435370,HighUsage,23.76314,5.5652,53,Medio,S/D,4.Activos,Autoservicio
2076,447131,PowerUsage,13.9368,3.6042,68,Alto,Medio,5.Select,Tradicional
2078,448692,PowerUsage,20.82088,10.5313,64,Alto,Medio,5.Select,Tradicional
2084,450583,MinimalUsage,0.6543599999999999,5.0,5,Alto,Medio,2.Masivos,COMIDA
2086,451249,MinimalUsage,1.2132,3.6667,6,Alto,Medio,2.Masivos,COMIDA
2088,452867,MinimalUsage,2.21968,6.3333,15,Alto,S/D,4.Activos,BEBIDA
2092,454477,MinimalUsage,0.8897999999999999,5.5,10,S/D,S/D,1.Inactivos,Tradicional
2094,45511,HighUsage,3.08856,4.7273,17,Alto,Medio,,Instituciones
2101,458746,MediumUsage,1.11734,7.5,17,S/D,S/D,1.Inactivos,Tradicional
2121,102559,MinimalUsage,4.584960000000001,7.3333,16,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
2131,166066,PowerUsage,2.6962,2.2,9,Medio,Bajo,4.Activos,Tradicional
2148,313099,HighUsage,1.37124,2.1429,8,Medio,Bajo,2.Masivos,Kioscos/Maxikioscos
2160,34987,MinimalUsage,2.98188,10.3333,21,Medio,Medio,1.Inactivos,Tradicional
2191,409925,MinimalUsage,0.43158,6.0,6,Medio,Medio,1.Inactivos,Tradicional
2216,426542,MinimalUsage,25.92,5.2857,15,Alto,Medio,,Instituciones
2220,431320,MinimalUsage,1.5335,6.6667,14,Alto,S/D,4.Activos,Tradicional
2227,435787,MediumUsage,50.451080000000005,2.6667,18,Medio,Bajo,4.Activos,Tradicional
2231,436441,MinimalUsage,1.83638,5.0,14,Alto,Medio,1.Inactivos,Tradicional
2235,440471,MinimalUsage,0.51376,6.0,6,Medio,Bajo,1.Inactivos,Tradicional
2241,443062,PowerUsage,13.94724,6.8478,69,Alto,Alto,4.Activos,Kioscos/Maxikioscos
2245,445218,PowerUsage,10.82423,3.5682,69,Alto,Medio,5.Select,Tradicional
2249,446670,HighUsage,3.96488,6.5,27,Alto,S/D,1.Inactivos,Tradicional
2250,446996,MinimalUsage,0.54,4.0,4,Alto,Medio,2.Masivos,ENTRETENIMIENTO
2252,447547,PowerUsage,6.93702,9.8571,40,Alto,Medio,4.Activos,Tradicional
2259,454281,PowerUsage,6.30104,5.7727,28,S/D,S/D,5.Select,Tradicional
2291,114736,PowerUsage,5.914540000000001,4.2083,29,Alto,Medio,5.Select,Tradicional
2296,173336,PowerUsage,11.62724,3.0789,27,Alto,Medio,4.Activos,Kioscos/Maxikioscos
2297,178358,PowerUsage,1.74754,4.8,22,Alto,Medio,4.Activos,Tradicional
2304,305521,PowerUsage,21.77192,9.4063,58,Alto,Medio,4.Activos,Tradicional
2307,309578,HighUsage,5.8956,6.25,33,Medio,Medio,4.Activos,Tradicional
2325,367660,PowerUsage,3.15738,3.35,12,Medio,S/D,4.Activos,Tradicional
