Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
LaLiga ;9;10/30/10;Home;FC Barcelona;Sevilla FC;05:00:00;RW;4';01:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;9;10/30/10;Home;FC Barcelona;Sevilla FC;05:00:00;RW;63';04:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Champions League ;Group Stage;11/2/10;Away;FC Barcelona;FC Copenhagen;01:01:00;RW;31';00:01:00;Right-footed shot;Not Applicable;Antonela Rocuzzo
LaLiga ;10;11/7/10;Away;FC Barcelona;Getafe CF;01:03:00;CF;23';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
Copa del Rey ;4th round;11/10/10;Home;FC Barcelona;Club Atlético de Ceuta;05:01:00;RW;67';05:01:00;Left-footed shot;Thiago;Antonela Rocuzzo
LaLiga ;11;11/13/10;Home;FC Barcelona;Villarreal CF;03:01:00;CF;58';02:01:00;Right-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;11;11/13/10;Home;FC Barcelona;Villarreal CF;03:01:00;CF;83';03:01:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;16';00:01:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;36';00:05:00;Tap-in;Not Applicable;Antonela Rocuzzo
LaLiga ;12;11/20/10;Away;FC Barcelona;UD Almería;00:08:00;CF;67';00:07:00;Tap-in;David Villa;Antonela Rocuzzo
Champions Legue ;Group Stage;11/24/10;Away;FC Barcelona;Panathinaikos Athens;00:03:00;CF;63';00:02:00;Left-footed shot;Adriano;Antonela Rocuzzo
LaLiga ;14;12/4/10;Away;FC Barcelona;CA Osasuna;00:03:00;CF;64';00:02:00;Left-footed shot;David Villa;Antonela Rocuzzo
LaLiga ;14;12/4/10;Away;FC Barcelona;CA Osasuna;00:03:00;CF;82';00:03:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;15;12/12/10;Home;FC Barcelona;Real Sociedad;05:00:00;CF;46';03:00:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;15;12/12/10;Home;FC Barcelona;Real Sociedad;05:00:00;CF;86';04:00:00;Left-footed shot;Bojan Krkic;Antonela Rocuzzo
LaLiga ;18;1/8/11;Away;FC Barcelona;Deportivo de La Coruña;00:04:00;CF;51';00:02:00;Direct free kick;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;44';01:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;63';02:00:00;Left-footed shot;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/12/11;Home;FC Barcelona;Real Betis Balompié;05:00:00;CF;73';03:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
Copa del Rey ;Quarter-Finals;1/19/11;Away;FC Barcelona;Real Betis Balompié;03:01:00;RW;37';02:01:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;20;1/22/11;Home;FC Barcelona;Racing Santander;03:00:00;CF;33';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
Copa del Rey ;Semi-Finals;1/26/11;Home;FC Barcelona;UD Almería;05:00:00;CF;9';01:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
Copa del Rey ;Semi-Finals;1/26/11;Home;FC Barcelona;UD Almería;05:00:00;CF;15';03:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;21;1/29/11;Away;FC Barcelona;Hércules CF;00:03:00;CF;87';00:02:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;21;1/29/11;Away;FC Barcelona;Hércules CF;00:03:00;CF;89';00:03:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
